episode,ticks,initial_entropy,final_entropy,moves,picks,drops,carried_left,epsilon,elapsed_s
0,2500,72.504,39.201,23393,1831,1825,6,0.2996,0.6
1,2500,73.398,32.718,23883,1839,1836,3,0.2993,1.3
2,2500,70.392,39.127,23751,1833,1829,4,0.2989,1.9
3,2500,70.003,46.549,24131,1863,1859,4,0.2985,2.6
4,2500,71.548,45.573,23622,1671,1666,5,0.2981,3.2
5,2500,72.094,39.055,23736,1818,1814,4,0.2978,3.9
6,2500,69.846,34.025,23826,1791,1785,6,0.2974,4.5
7,2500,70.447,35.146,23744,1758,1754,4,0.297,5.2
8,2500,68.685,46.916,23309,1716,1711,5,0.2966,5.8
9,2500,71.488,41.848,23796,1812,1806,6,0.2963,6.4
10,2500,72.269,38.735,23389,1620,1615,5,0.2959,7.1
11,2500,73.91,41.871,23580,1841,1836,5,0.2955,7.7
12,2500,73.389,34.539,23095,1729,1726,3,0.2951,8.4
13,2500,67.927,33.891,23522,1755,1749,6,0.2948,9.0
14,2500,69.529,46.575,23688,1641,1634,7,0.2944,9.6
15,2500,65.138,37.887,23843,1838,1833,5,0.294,10.3
16,2500,70.816,40.801,23954,1765,1759,6,0.2937,10.9
17,2500,73.851,43.122,23470,1729,1725,4,0.2933,11.6
18,2500,73.658,34.627,23268,1804,1796,8,0.2929,12.2
19,2500,73.307,32.276,23653,1808,1803,5,0.2925,12.8
20,2500,72.412,38.973,23779,1712,1709,3,0.2922,13.5
21,2500,71.902,46.126,23233,1810,1804,6,0.2918,14.1
22,2500,69.058,36.382,24058,1790,1786,4,0.2914,14.8
23,2500,69.259,42.037,23666,1741,1735,6,0.291,15.4
24,2500,73.804,39.904,23817,1878,1873,5,0.2907,16.1
25,2500,76.624,39.089,23593,1883,1876,7,0.2903,16.7
26,2500,68.843,43.342,23344,1758,1754,4,0.2899,17.4
27,2500,64.087,30.337,23628,1825,1823,2,0.2895,18.0
28,2500,71.813,39.215,23494,1663,1657,6,0.2892,18.6
29,2500,71.597,37.571,22880,1748,1744,4,0.2888,19.3
30,2500,71.734,38.282,23133,1747,1742,5,0.2884,19.9
31,2500,72.413,41.792,23883,1732,1727,5,0.2881,20.6
32,2500,72.547,39.207,23420,1800,1795,5,0.2877,21.2
33,2500,69.82,34.07,23121,1684,1681,3,0.2873,21.9
34,2500,72.365,41.447,23417,1568,1562,6,0.2869,22.5
35,2500,72.926,33.353,23181,1859,1856,3,0.2866,23.2
36,2500,69.081,43.376,23336,1745,1740,5,0.2862,23.8
37,2500,75.147,38.149,23500,1628,1624,4,0.2858,24.5
38,2500,68.533,38.836,23358,1683,1680,3,0.2854,25.1
39,2500,72.193,44.206,23607,1730,1728,2,0.2851,25.8
40,2500,72.811,37.775,23867,1690,1684,6,0.2847,26.4
41,2500,72.057,40.071,23578,1868,1863,5,0.2843,27.1
42,2500,70.419,41.55,23510,1771,1769,2,0.2839,27.7
43,2500,69.722,43.987,23633,1814,1812,2,0.2836,28.4
44,2500,70.216,39.399,23376,1689,1684,5,0.2832,29.0
45,2500,76.216,44.881,23405,1769,1767,2,0.2828,29.7
46,2500,68.763,34.687,23606,1682,1675,7,0.2825,30.3
47,2500,70.958,38.626,23808,1718,1715,3,0.2821,31.0
48,2500,71.103,40.548,23691,1679,1674,5,0.2817,31.6
49,2500,72.106,39.323,23211,1714,1711,3,0.2813,32.3
50,2500,70.893,35.27,23580,1685,1683,2,0.281,32.9
51,2500,73.033,42.15,23691,1800,1795,5,0.2806,33.6
52,2500,71.999,31.9,23474,1845,1842,3,0.2802,34.2
53,2500,69.246,35.877,23976,1847,1844,3,0.2798,34.9
54,2500,73.423,41.18,23858,1719,1714,5,0.2795,35.6
55,2500,70.182,36.701,23349,1748,1743,5,0.2791,36.2
56,2500,68.663,42.137,23465,1691,1686,5,0.2787,36.9
57,2500,72.304,38.478,23829,1697,1691,6,0.2783,37.5
58,2500,70.001,38.372,23795,1707,1703,4,0.278,38.2
59,2500,71.229,42.036,23534,1598,1592,6,0.2776,38.8
60,2500,72.376,34.465,23394,1700,1697,3,0.2772,39.5
61,2500,70.732,47.91,22739,1575,1569,6,0.2769,40.1
62,2500,69.608,45.441,23813,1715,1711,4,0.2765,40.8
63,2500,71.263,35.39,23654,1784,1782,2,0.2761,41.4
64,2500,71.52,33.792,24084,1689,1686,3,0.2757,42.1
65,2500,71.185,32.738,23653,1629,1625,4,0.2754,42.7
66,2500,70.861,38.833,23954,1787,1782,5,0.275,43.4
